Type,Area,Item,Year,Value
Production Quantity,Australia,Vegetables,1961,51251
Production Quantity,Australia,Vegetables,1962,49307
Production Quantity,Australia,Vegetables,1963,49581
Production Quantity,Australia,Vegetables,1964,51853
Production Quantity,Australia,Vegetables,1965,48150
Production Quantity,Australia,Vegetables,1966,60869
Production Quantity,Australia,Vegetables,1967,57992
Production Quantity,Australia,Vegetables,1968,59544
Production Quantity,Australia,Vegetables,1969,59501
Production Quantity,Australia,Vegetables,1970,55664
Production Quantity,Australia,Vegetables,1971,67353
Production Quantity,Australia,Vegetables,1972,63907
Production Quantity,Australia,Vegetables,1973,57228
Production Quantity,Australia,Vegetables,1974,67007
Production Quantity,Australia,Vegetables,1975,61507
Production Quantity,Australia,Vegetables,1976,62125
Production Quantity,Australia,Vegetables,1977,76197
Production Quantity,Australia,Vegetables,1978,81881
Production Quantity,Australia,Vegetables,1979,78501
Production Quantity,Australia,Vegetables,1980,71544
Production Quantity,Australia,Vegetables,1981,70115
Production Quantity,Australia,Vegetables,1982,68555
Production Quantity,Australia,Vegetables,1983,71616
Production Quantity,Australia,Vegetables,1984,80101
Production Quantity,Australia,Vegetables,1985,85026
Production Quantity,Australia,Vegetables,1986,86421
Production Quantity,Australia,Vegetables,1987,86116
Production Quantity,Australia,Vegetables,1988,86615
Production Quantity,Australia,Vegetables,1989,86142
Production Quantity,Australia,Vegetables,1990,92418
Production Quantity,Australia,Vegetables,1991,79124
Production Quantity,Australia,Vegetables,1992,80744
Production Quantity,Australia,Vegetables,1993,78000
Production Quantity,Australia,Vegetables,1994,75000
Production Quantity,Australia,Vegetables,1995,72971
Production Quantity,Australia,Vegetables,1996,85369
Production Quantity,Australia,Vegetables,1997,84440
Production Quantity,Australia,Vegetables,1998,85392
Production Quantity,Australia,Vegetables,1999,83060
Production Quantity,Australia,Vegetables,2000,86208
Production Quantity,Australia,Vegetables,2001,80000
Production Quantity,Australia,Vegetables,2002,78134
Production Quantity,Australia,Vegetables,2003,76983
Production Quantity,Australia,Vegetables,2004,75935
Production Quantity,Australia,Vegetables,2005,75132
Production Quantity,Australia,Vegetables,2006,70000
Production Quantity,Australia,Vegetables,2007,72000
Production Quantity,Australia,Vegetables,2008,74671
Production Quantity,Australia,Vegetables,2009,76428
Production Quantity,Australia,Vegetables,2010,77129
Production Quantity,Australia,Vegetables,2011,76985
Production Quantity,Australia,Vegetables,2012,76841
Production Quantity,Australia,Vegetables,2013,76697
Production Quantity,Australia,Vegetables,2014,76553
Production Quantity,Australia,Vegetables,2015,76409
Production Quantity,Australia,Vegetables,2016,76265